tile,ra,dec,near_gal,nearest_gal_sep,nearest_gal_id,nearest_gal_dist
"(175, 283)",140.55894,51.5,True,75.06629006694935,NGC2841                       ,14.513
"(175, 284)",142.12357,52.0,True,288.9204197196471,NGC2841                       ,14.513
"(176, 278)",134.13428,49.0,True,101.96075687375256,NGC2684                       ,42.0886
"(176, 282)",139.83339,51.0,True,89.6352754734396,NGC2841                       ,14.513
"(176, 283)",141.36214,51.5,True,115.81614515769702,NGC2841                       ,14.513
"(176, 306)",193.83665,63.0,True,264.1309258077952,UGC08059                      ,42.2828
"(177, 259)",114.69308,39.5,True,135.63040139041848,NGC2424                       ,47.129
"(177, 277)",133.5607,48.5,True,299.00817869189325,NGC2684                       ,42.0886
"(177, 281)",139.13383,50.5,True,187.2909481996041,NGC2841                       ,14.513
"(177, 282)",140.6279,51.0,True,19.54727526527572,NGC2841                       ,14.513
"(177, 283)",142.16533,51.5,True,231.9912229941149,NGC2841                       ,14.513
"(178, 258)",114.5216,39.0,True,245.50504376696452,NGC2424                       ,47.129
"(178, 259)",115.341064,39.5,True,51.85890745973761,NGC2424                       ,47.129
"(178, 281)",139.91989,50.5,True,76.83001666148998,NGC2841                       ,14.513
"(178, 282)",141.4224,51.0,True,120.18102239595174,NGC2841                       ,14.513
"(179, 258)",115.16498,39.0,True,164.79317156462798,NGC2424                       ,47.129
"(179, 280)",139.23729,50.0,True,244.4986677232589,NGC2841                       ,14.513
"(179, 281)",140.70596,50.5,True,56.2847199909302,NGC2841                       ,14.513
"(179, 282)",142.2169,51.0,True,238.99327090613653,NGC2841                       ,14.513
"(180, 276)",134.50288,48.0,True,265.24637392422613,PGC025324                     ,46.2118
"(180, 280)",140.01515,50.0,True,185.99377622099456,NGC2841                       ,14.513
"(180, 281)",141.49203,50.5,True,128.15259803847357,NGC2841                       ,14.513
"(181, 276)",135.25012,48.0,True,143.01788863322685,PGC025324                     ,46.2118
"(181, 280)",140.793,50.0,True,182.0623571995512,NGC2841                       ,14.513
"(181, 281)",142.27809,50.5,True,247.50019417508065,NGC2841                       ,14.513
"(182, 275)",134.69704,47.5,True,159.32786049085556,PGC025324                     ,46.2118
"(182, 276)",135.99736,48.0,True,272.1168955869496,PGC025324                     ,46.2118
"(182, 279)",140.11899,49.5,True,265.4257725615178,NGC2854                       ,36.4754
"(182, 280)",141.57086,50.0,True,223.01330198390184,NGC2841                       ,14.513
