host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC3665,MATLAS-1029,171.3923,38.9089,dEN ,2.54,,"(266, 258)",1180.6441017949974,3239.877086403243,ugri,4,1
NGC3665,MATLAS-1031,171.408,38.9716,dI  ,0.0,,"(266, 258)",947.4809965352388,4455.620061248742,ugri,4,1
NGC3665,MATLAS-1034,171.4557,39.0182,dE  ,4.44,,"(266, 258)",231.95064006090612,5360.992771895929,ugri,4,1
NGC3665,MATLAS-1035,171.456,38.8729,dE  ,0.0,,"(266, 258)",217.6301750710454,2545.232019502208,ugri,4,1
NGC3665,MATLAS-1037,171.4849,38.9473,dEN ,5.88,,"(267, 258)",9483.81870105472,3986.045855894616,ugri,4,1
NGC3665,MATLAS-1038,171.5173,38.9456,dE  ,5.55,,"(267, 258)",8995.593213993245,3951.5944411001847,ugri,4,1
NGC3665,MATLAS-1039,171.5483,38.9774,dE  ,5.08,,"(267, 258)",8526.7772789442,4566.567413483406,ugri,4,1
NGC3665,MATLAS-1040,171.5709,38.488,dEN ,5.24,,"(269, 257)",9403.924714805187,4774.396507933627,ugri,4,1
NGC3665,MATLAS-1042,171.608,38.7955,dE  ,4.64,,"(267, 258)",7634.139049871267,1039.4969300740145,ugri,4,1
NGC3694,MATLAS-1043,171.6143,35.2649,dE  ,4.3,,"(279, 251)",843.3770234301592,449.4816825821126,ugri,4,1
NGC3694,MATLAS-1045,171.6327,35.3471,dE  ,3.29,,"(279, 251)",556.770921407815,2043.2550331922064,ugri,4,1
NGC3694,MATLAS-1048,171.659,35.2798,dE  ,5.33,,"(280, 251)",9853.07505201778,740.2350053376749,ugri,4,1
NGC3694,MATLAS-1050,171.692,35.1655,dI  ,0.0,,"(281, 250)",2256.595715804443,8209.615169808998,ugri,4,1
NGC3665,MATLAS-1051,171.7102,38.9535,dE  ,3.9,,"(267, 258)",6088.098150420577,4099.309013728237,ugri,4,1
NGC3694,MATLAS-1052,171.72,35.3938,dI  ,0.0,,"(280, 251)",8882.543022934327,2946.7746491644148,ugri,4,1
NGC3694,MATLAS-1054,171.7575,35.2474,dE  ,2.48,,"(280, 251)",8296.118080425165,108.29932565452692,ugri,4,1
NGC3665,MATLAS-1056,171.799,39.2536,dI  ,0.0,,"(267, 258)",4750.926072823585,9914.560117199091,ugri,4,1
NGC3694,MATLAS-1064,172.1835,35.1037,dE  ,5.02,,"(282, 250)",4139.386573268961,7009.835170578818,ugri,4,1
NGC3694,MATLAS-1066,172.223,35.8533,dIN ,0.0,,"(279, 252)",8274.66306852661,2160.589369214959,ugri,4,1
NGC3694,MATLAS-1067,172.2542,35.6365,dEN ,4.32,,"(280, 251)",457.197588295322,7651.895761387857,ugri,4,1
NGC3941,MATLAS-1108,177.8688,37.4096,dE  ,3.8,,"(282, 255)",2811.2761078183826,3249.7901351862897,ugri,4,1
NGC3941,MATLAS-1109,178.0211,36.7401,dE  ,2.9,,"(286, 253)",3000.8318711587463,9654.25988415925,ugri,4,1
NGC3941,MATLAS-1114,178.598,36.5864,dEN ,0.0,,"(287, 253)",3698.652204098069,6674.909817992209,ugri,4,1
NGC4111,MATLAS-1164,181.166,43.3886,dI  ,0.0,,"(263, 267)",6685.716741763549,2842.390331015172,ugri,4,1
NGC4111,MATLAS-1165,181.1703,43.0563,dE  ,3.57,,"(265, 266)",5008.334448506062,6091.03603700454,ugri,4,1
NGC4111,MATLAS-1166,181.179,42.5788,dE  ,0.0,,"(267, 265)",3467.688666998569,6528.03484640424,ugri,4,1
NGC4111,MATLAS-1168,181.23,43.622,dI  ,0.0,,"(263, 267)",5781.381247953603,7364.499171320536,ugri,4,1
NGC4111,MATLAS-1169,181.231,43.5102,dI  ,0.0,,"(263, 267)",5768.776426416259,5197.918083321272,ugri,4,1
NGC4111,MATLAS-1170,181.2582,42.7957,dE  ,3.8,,"(265, 266)",3758.43127958038,1041.503636312687,ugri,4,1
NGC4111,MATLAS-1180,181.496,42.9026,dI  ,0.0,,"(265, 266)",384.9166975911239,3121.4006767271035,ugri,4,1
NGC4111,MATLAS-1183,181.649,43.2168,dI  ,0.0,,"(266, 266)",7902.991960974403,9204.945191802686,ugri,4,1
NGC4111,MATLAS-1185,181.8507,42.9868,dE  ,4.25,,"(266, 266)",5054.610273306908,4744.198926318381,ugri,4,1
NGC4111,MATLAS-1188,181.97,43.1116,dEN ,0.0,,"(266, 266)",3366.745619375099,7163.81962752184,ugri,4,1
NGC4150,MATLAS-1189,182.2078,30.4977,dE  ,3.13,,"(314, 241)",5086.165950703362,4955.430352684405,ugri,4,1
NGC4150,MATLAS-1190,182.226,30.4147,dI  ,0.0,,"(314, 241)",4782.078831999101,3346.9857287013137,ugri,4,1
NGC4150,MATLAS-1193,182.4155,30.1327,dE  ,3.63,,"(316, 240)",5455.628039954656,7571.64734397358,ugri,4,1
NGC4150,MATLAS-1194,182.445,30.6529,dIN ,0.0,,"(314, 241)",1131.599088112985,7967.044268479005,ugri,4,1
NGC4203,MATLAS-1218,183.859,33.3919,dI  ,0.0,,"(307, 247)",8542.767882239968,2908.857194000057,ugri,4,1
NGC4203,MATLAS-1223,184.04,33.5924,dE  ,0.0,,"(307, 247)",5612.753571248152,6790.730101915407,ugri,4,1
NGC4203,MATLAS-1228,184.114,33.6938,dI  ,0.0,,"(307, 247)",4418.883776788562,8755.758883080089,ugri,4,1
NGC4203,MATLAS-1231,184.1523,33.4982,dE  ,3.67,,"(307, 247)",3798.632558373524,4965.548017103366,ugri,4,1
NGC4203,MATLAS-1233,184.207,33.6067,dI  ,0.0,,"(307, 247)",2917.28292147978,7069.035940964702,ugri,4,1
NGC4278,MATLAS-1271,184.5344,29.818,dE  ,2.91,,"(320, 240)",8660.06686964535,1476.4740795853763,ugri,4,1
NGC5198,MATLAS-1530,201.7938,46.6325,dE  ,7.27,,"(278, 273)",6823.26248846754,7569.302077329238,gri,3,1
NGC5198,MATLAS-1532,201.9709,46.4414,dE  ,3.96,,"(278, 273)",4464.69659155604,3864.5280300893046,gri,3,1
NGC5198,MATLAS-1533,202.07,46.3837,dE  ,0.0,,"(278, 273)",3139.346536384062,2747.8596112046625,gri,3,1
